#DRAM
T17,SA0,DRAM,I/O,Z,-,-
U18,SA1,DRAM,I/O,Z,-,-
V19,SA2,DRAM,I/O,Z,-,-
V20,SA3,DRAM,I/O,Z,-,-
V21,SA4,DRAM,I/O,Z,-,-
Y19,SA5,DRAM,I/O,Z,-,-
Y20,SA6,DRAM,I/O,Z,-,-
V15,SA7,DRAM,I/O,Z,-,-
W18,SA8,DRAM,I/O,Z,-,-
Y18,SA9,DRAM,I/O,Z,-,-
P19,SA10,DRAM,I/O,Z,-,-
N19,SA11,DRAM,I/O,Z,-,-
R18,SA12,DRAM,I/O,Z,-,-
V12,SA13,DRAM,I/O,Z,-,-
N17,SA14,DRAM,I/O,Z,-,-
R17,SA15,DRAM,I/O,Z,-,-
W17,SBA0,DRAM,O,Z,-,-
T18,SBA1,DRAM,O,Z,-,-
V17,SBA2,DRAM,O,Z,-,-
U15,SCAS,DRAM,O,Z,-,-
AA19,SCK,DRAM,O,Z,-,-
AA20,SCKB,DRAM,O,Z,-,-
AA21,SCKE0,DRAM,O,Z,-,-
Y21,SCKE1,DRAM,O,Z,-,-
W20,SCS0,DRAM,O,Z,-,-
W21,SCS1,DRAM,O,Z,-,-
N20,SDQ0,DRAM,I/O,Z,-,-
P21,SDQ1,DRAM,I/O,Z,-,-
P20,SDQ2,DRAM,I/O,Z,-,-
U21,SDQ3,DRAM,I/O,Z,-,-
R19,SDQ4,DRAM,I/O,Z,-,-
T20,SDQ5,DRAM,I/O,Z,-,-
U19,SDQ6,DRAM,I/O,Z,-,-
U20,SDQ7,DRAM,I/O,Z,-,-
J19,SDQ8,DRAM,I/O,Z,-,-
H20,SDQ9,DRAM,I/O,Z,-,-
H21,SDQ10,DRAM,I/O,Z,-,-
J21,SDQ11,DRAM,I/O,Z,-,-
L20,SDQ12,DRAM,I/O,Z,-,-
L21,SDQ13,DRAM,I/O,Z,-,-
M21,SDQ14,DRAM,I/O,Z,-,-
M19,SDQ15,DRAM,I/O,Z,-,-
Y17,SDQ16,DRAM,I/O,Z,-,-
AA17,SDQ17,DRAM,I/O,Z,-,-
Y16,SDQ18,DRAM,I/O,Z,-,-
W15,SDQ19,DRAM,I/O,Z,-,-
Y14,SDQ20,DRAM,I/O,Z,-,-
AA14,SDQ21,DRAM,I/O,Z,-,-
Y13,SDQ22,DRAM,I/O,Z,-,-
Y12,SDQ23,DRAM,I/O,Z,-,-
W12,SDQ24,DRAM,I/O,Z,-,-
AA11,SDQ25,DRAM,I/O,Z,-,-
Y11,SDQ26,DRAM,I/O,Z,-,-
Y10,SDQ27,DRAM,I/O,Z,-,-
W9,SDQ28,DRAM,I/O,Z,-,-
AA8,SDQ29,DRAM,I/O,Z,-,-
Y8,SDQ30,DRAM,I/O,Z,-,-
Y7,SDQ31,DRAM,I/O,Z,-,-
M20,SDQM0,DRAM,O,Z,-,-
G20,SDQM1,DRAM,O,Z,-,-
AA18,SDQM2,DRAM,O,Z,-,-
AA12,SDQM3,DRAM,O,Z,-,-
R20,SDQS0,DRAM,I/O,Z,-,-
R21,SDQS0B,DRAM,I/O,Z,-,-
K20,SDQS1,DRAM,I/O,Z,-,-
